,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
0,CPI_01,Titanium dioxide,13463-67-7,0.31,,79.867,1843,2972,4.23,HM.1400.010.040.F,HM,paint/stain and related products ,paint,exterior,F,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"antistain_agent
colorant
uv_stabilizer
viscosity_modifier",4,0,0
1,CPI_02,Copper,7440-50-8,0.00001,20,63.546,1083,2567,8.96,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"antioxidant
biocide
flavouring_nutrient",3,0,0
2,CPI_03,Zinc,7440-66-6,0.00003,,65.37,419.53,907,7.14,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"antioxidant
flavouring_nutrient",2,0,0
3,CPI_04,Silver,7440-22-4,0.00003,1.5,107.868,961.78,2162,10.345,PC.1200.030.099.F,PC,facial cleansing and moisturizing ,face mask,NOC,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
4,CPI_05,Silver,7440-22-4,0.000005,1.5,107.868,961.78,2162,10.345,PC.0800.060.001.F,PC,child specific ,baby wipes,child,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
5,CPI_06,Silver,7440-22-4,0.00005,,107.868,961.78,2162,10.345,HM.1100.010.099.A,HM,large appliances ,appliances,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
6,CPI_07,Silver,7440-22-4,0.0005,157.5,107.868,961.78,2162,10.345,HM.1100.010.099.A,HM,large appliances ,appliances,NOC,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
7,CPI_08,Silver,7440-22-4,0.000022,,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
8,CPI_09,Silver,7440-22-4,0.00002,2,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
9,CPI_10,Silver,7440-22-4,0.00001,57.5,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
