ENM-Organics-Ratio	Avg-Random-Augment	Std-Random-Augment	Avg-Unsupervised-Match	Std-Unsupervised-Match	Avg-Supervised-Match	Std-Supervised-Match
1:0*	0.0	0.0	0.0	0.0	0.0	0.0
1:0	0.622	0.018	0.0	0.0	0.0	0.0
1:1	0.627	0.023	0.619	0.015	0.625	0.019
1:2	0.608	0.021	0.601	0.019	0.622	0.02
1:3	0.601	0.02	0.595	0.019	0.615	0.019
1:4	0.0	0.0	0.587	0.018	0.602	0.019
1:5	0.597	0.018	0.593	0.019	0.588	0.018
1:10	0.0	0.0	0.588	0.017	0.574	0.018
1:20	0.0	0.0	0.573	0.022	0.572	0.012
1:50	0.0	0.0	0.0	0.0	0.542	0.019
1:100	0.0	0.0	0.0	0.0	0.0	0.0
