estimator	min_score	mean_score	max_score	std_score	augmentation_k	augmentation_type	n_components	max_depth	C	gamma
SVC	0.5111111111111111	0.7066666666666667	0.8666666666666667	0.1268030454905521	20	<function random_augment at 0x11f2508c8>	10	NaN	1000000.0	0.001
RandomForestClassifier	0.5111111111111111	0.6844444444444444	0.9333333333333332	0.1415260740274725	3	<function random_augment at 0x11f2508c8>	8	2.0	NaN	NaN
SVC	0.6	0.6733333333333332	0.7777777777777778	0.057777777777777796	2	<function random_augment at 0x11f2508c8>	8	NaN	10000000.0	0.0001
SVC	0.5111111111111111	0.6711111111111111	0.8666666666666667	0.1252355804764922	5	<function random_augment at 0x11f2508c8>	10	NaN	1000000.0	0.0001
SVC	0.5555555555555555	0.6666666666666666	0.7555555555555555	0.06440611887195309	10	<function random_augment at 0x11f2508c8>	9	NaN	1000000.0	0.001
SVC	0.5111111111111111	0.6599999999999999	0.7555555555555555	0.08122518614443142	20	<function random_augment at 0x11f2508c8>	10	NaN	10000.0	0.01
SVC	0.5111111111111111	0.6555555555555556	0.7666666666666666	0.08314794192830981	4	<function random_augment at 0x11f2508c8>	10	NaN	100.0	0.01
RandomForestClassifier	0.5111111111111111	0.6555555555555554	0.7666666666666666	0.09216196157034541	3	<function random_augment at 0x11f2508c8>	10	2.0	NaN	NaN
SVC	0.5111111111111111	0.6533333333333332	0.7555555555555555	0.07900617259836079	20	<function random_augment at 0x11f2508c8>	10	NaN	1.0	1.0
SVC	0.5111111111111111	0.6511111111111111	0.7666666666666666	0.08652409926191905	5	<function random_augment at 0x11f2508c8>	9	NaN	1000000.0	0.0001
SVC	0.5111111111111111	0.6511111111111111	0.7111111111111111	0.07749153677405644	10	<function random_augment at 0x11f2508c8>	9	NaN	0.1	1.0
SVC	0.5111111111111111	0.6511111111111111	0.7111111111111111	0.07749153677405644	10	<function random_augment at 0x11f2508c8>	10	NaN	0.1	1.0
SVC	0.5111111111111111	0.6488888888888888	0.8666666666666667	0.11792443699041423	5	<function random_augment at 0x11f2508c8>	10	NaN	100.0	0.01
SVC	0.5111111111111111	0.6488888888888888	0.8666666666666667	0.11792443699041423	5	<function random_augment at 0x11f2508c8>	10	NaN	10000.0	0.001
SVC	0.5111111111111111	0.6488888888888888	0.8222222222222223	0.10173798348675202	20	<function supervised_augment at 0x11f250ae8>	8	NaN	100000.0	0.0001
RandomForestClassifier	0.5111111111111111	0.6488888888888888	0.7999999999999999	0.09469900334516673	5	<function random_augment at 0x11f2508c8>	10	2.0	NaN	NaN
SVC	0.4222222222222222	0.6466666666666667	0.8222222222222223	0.13377703949593256	3	<function random_augment at 0x11f2508c8>	10	NaN	1000.0	0.1
SVC	0.5555555555555556	0.6466666666666667	0.7444444444444445	0.06142344427149002	3	<function supervised_augment at 0x11f250ae8>	10	NaN	10000.0	0.01
RandomForestClassifier	0.5333333333333333	0.6444444444444444	0.8222222222222223	0.09838197164968294	20	<function supervised_augment at 0x11f250ae8>	10	4.0	NaN	NaN
SVC	0.5333333333333333	0.6399999999999999	0.7555555555555555	0.07356864603220821	2	<function random_augment at 0x11f2508c8>	10	NaN	10000000.0	1e-07
SVC	0.5111111111111111	0.6399999999999999	0.7333333333333333	0.08362172320989678	3	<function random_augment at 0x11f2508c8>	8	NaN	1000000.0	0.0001
SVC	0.5111111111111111	0.6399999999999999	0.7111111111111111	0.07083278866892989	3	<function random_augment at 0x11f2508c8>	10	NaN	100.0	0.01
SVC	0.5111111111111111	0.6399999999999999	0.7111111111111111	0.0679869268479038	10	<function random_augment at 0x11f2508c8>	9	NaN	10.0	0.1
SVC	0.5111111111111111	0.6399999999999999	0.7111111111111111	0.0679869268479038	10	<function random_augment at 0x11f2508c8>	9	NaN	1000.0	0.01
SVC	0.5111111111111111	0.6399999999999999	0.7111111111111111	0.0679869268479038	10	<function random_augment at 0x11f2508c8>	9	NaN	100000.0	0.001
SVC	0.6	0.6399999999999999	0.6666666666666666	0.025915341754867996	10	<function unsupervised_augment at 0x11f250c80>	9	NaN	100.0	0.01
SVC	0.6	0.6399999999999999	0.6666666666666666	0.025915341754867996	10	<function unsupervised_augment at 0x11f250c80>	9	NaN	10000.0	0.001
SVC	0.6	0.6399999999999999	0.6666666666666666	0.025915341754867992	10	<function unsupervised_augment at 0x11f250c80>	10	NaN	1000000.0	1e-06
SVC	0.5333333333333333	0.6377777777777778	0.7666666666666666	0.07999999999999996	10	<function supervised_augment at 0x11f250ae8>	10	NaN	1000000.0	0.01
SVC	0.5111111111111111	0.6377777777777778	0.7444444444444445	0.08302907418786401	10	<function supervised_augment at 0x11f250ae8>	10	NaN	100000.0	0.01
SVC	0.5111111111111111	0.6377777777777778	0.7111111111111111	0.07152656417524927	5	<function random_augment at 0x11f2508c8>	9	NaN	100.0	0.01
SVC	0.5111111111111111	0.6355555555555557	0.8222222222222223	0.10193195503270862	3	<function random_augment at 0x11f2508c8>	10	NaN	10000000.0	0.0001
SVC	0.4666666666666666	0.6355555555555555	0.8444444444444444	0.12380789579719219	10	<function supervised_augment at 0x11f250ae8>	10	NaN	10000000.0	0.1
SVC	0.5333333333333333	0.6355555555555555	0.7999999999999999	0.08955307413159948	10	<function unsupervised_augment at 0x11f250c80>	9	NaN	1000000.0	0.1
RandomForestClassifier	0.5111111111111111	0.6355555555555555	0.7333333333333334	0.07516237566794563	4	<function random_augment at 0x11f2508c8>	9	2.0	NaN	NaN
SVC	0.5111111111111111	0.6355555555555555	0.7111111111111111	0.07248669524577822	4	<function random_augment at 0x11f2508c8>	9	NaN	1000000.0	0.0001
SVC	0.5111111111111111	0.6355555555555555	0.7111111111111111	0.06827685109216541	10	<function random_augment at 0x11f2508c8>	9	NaN	100.0	0.1
SVC	0.6	0.6355555555555555	0.6666666666666666	0.03014368881389008	10	<function unsupervised_augment at 0x11f250c80>	10	NaN	100000.0	0.0001
SVC	0.5111111111111111	0.6333333333333333	0.7555555555555555	0.0854905958296504	20	<function random_augment at 0x11f2508c8>	10	NaN	100.0	0.1
